commit	mse	mae	unc_sep	cls_acc	cls_trans	n_val	status	description
bc1375d	0.009120	0.069819	-0.001109	0.582996	0.460317	247	baseline	35feat h=64 2L λ1=0.1 λ2=0.01
0d184fd	0.009295	0.070975	-0.000311	0.550607	0.452381	247	discard	λ1=0.01
0d184fd	0.009475	0.071805	-0.000705	0.562753	0.444444	247	discard	λ1=0.05
0d184fd	0.009022	0.071167	-0.001770	0.546559	0.476190	247	discard	λ1=0.25
0d184fd	0.008895	0.071916	-0.000808	0.562753	0.468254	247	discard	λ1=0.5
0d184fd	0.008843	0.068705	-0.000614	0.587045	0.492063	247	keep	λ1=1.0 (best cls_acc+MSE)
0d184fd	0.009348	0.071170	-0.001008	0.566802	0.515873	247	discard	λ1=2.0
0d184fd	0.009231	0.070663	-0.000438	0.595142	0.563492	247	discard	λ1=5.0
0d184fd	0.008941	0.072774	-0.001106	0.530364	0.460317	247	discard	λ1=10.0
ba98d19	0.009436	0.072611	0.001652	0.607287	0.516949	247	keep	t1=20/t2=80 — first positive unc_sep!
