model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
LSTM	0.012831	0.020510	0.084677	0.114937	0.955777	0.836400	0.532787	0.499371	0.805320	0.826750							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6}	baseline	[BASELINE PLAIN 4CAM]
LSTM	0.015484	0.019815	0.094262	0.110892	0.951044	0.854129	0.573770	0.445283	0.805320	0.826750							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "transition_loss_weight": 1}	discarded	[TW PLAIN 4CAM w=1] mse +20.7% > 10% threshold
LSTM	0.015317	0.018582	0.096315	0.109070	0.956756	0.828995	0.540984	0.520755	0.805320	0.826750							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "transition_loss_weight": 2}	discarded	[TW PLAIN 4CAM w=2] mse +19.4% > 10% threshold
LSTM	0.014811	0.020015	0.094537	0.113121	0.954634	0.826750	0.535519	0.503145	0.805320	0.826750							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "transition_loss_weight": 3}	discarded	[TW PLAIN 4CAM w=3] mse +15.4% > 10% threshold
EvidentialLSTM	0.014057	0.019752	0.089898	0.113254	0.957082	0.826526	0.584699	0.500629	0.805320	0.826750	0.107481	0.091502	0.957735	0.826077	0.584699	0.503145	6128	4456	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "lambda1": 0.25, "transition_loss_weight": 3}	kept	[TW EVID 4CAM MSE w=3] cls_trans 0.503->0.585\! mse 5.3% worse, unc_sep ok
EvidentialLSTM	0.015118	0.019235	0.090914	0.108278	0.959856	0.857944	0.551913	0.465409	0.805320	0.826750	0.099983	0.075189	0.960672	0.856373	0.551913	0.461635	6128	4456	{"transition_loss_weight": 2, "lambda1": 0.25}	discarded	[TW EVID 4CAM MSE w=2] cls_trans up but mse 13% worse
LSTM	0.014498	0.022633	0.093375	0.120693	0.957735	0.826077	0.565574	0.500629	0.805320	0.826750							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "transition_loss_weight": 5}	discarded	[TW PLAIN 4CAM w=5] mse +13.0% > 10% threshold
LSTM	0.018380	0.023622	0.107729	0.124289	0.953166	0.826750	0.560109	0.500629	0.805320	0.826750							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "transition_loss_weight": 8}	discarded	[TW PLAIN 4CAM w=8] mse +43.2% > 10% threshold
LSTM	0.017006	0.025611	0.101827	0.125818	0.951860	0.810592	0.625683	0.605031	0.805320	0.826750							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "transition_loss_weight": 10}	discarded	[TW PLAIN 4CAM w=10] mse +32.5% > 10% threshold
EvidentialLSTM	0.016903	0.022773	0.097802	0.120149	0.950392	0.813285	0.612022	0.545912	0.805320	0.826750	0.085093	0.077581	0.950881	0.809022	0.606557	0.552201	6128	4456	{"transition_loss_weight": 5, "lambda1": 0.25}	discarded	[TW EVID 4CAM MSE w=5] cls_trans 0.612 but mse 27% worse
